k,precision,recall,mrr,ndcg,avg_time,avg_distance,avg_reranker_score
3,0.9833333333333332,0.04557425447888475,0.975,0.9846713201808635,2.871291536092758,0.7231726551537864,2.8700625600914162
5,0.99,0.07764916749021793,0.975,0.9880319784117851,2.705043351650238,0.7352937428484809,2.0806490829586983
8,0.984375,0.12189956466698453,0.975,0.9894979038773334,2.4424693286418915,0.7404010342744246,1.1128747893730178
